year,city,country,city_temp,global_temp
1750,Berlin,Germany,9.83,8.72
1751,Berlin,Germany,9.75,7.98
1752,Berlin,Germany,4.84,5.78
1753,Berlin,Germany,8.72,8.39
1754,Berlin,Germany,8.49,8.47
1755,Berlin,Germany,8.26,8.36
1756,Berlin,Germany,9.62,8.85
1757,Berlin,Germany,9.15,9.02
1758,Berlin,Germany,8.25,6.74
1759,Berlin,Germany,9.04,7.99
1760,Berlin,Germany,8.99,7.19
1761,Berlin,Germany,9.47,8.77
1762,Berlin,Germany,8.53,8.61
1763,Berlin,Germany,8.62,7.50
1764,Berlin,Germany,8.91,8.40
1765,Berlin,Germany,8.54,8.25
1766,Berlin,Germany,8.87,8.41
1767,Berlin,Germany,8.14,8.22
1768,Berlin,Germany,8.03,6.78
1769,Berlin,Germany,8.46,7.69
1770,Berlin,Germany,8.50,7.69
1771,Berlin,Germany,7.45,7.85
1772,Berlin,Germany,9.13,8.19
1773,Berlin,Germany,9.52,8.22
1774,Berlin,Germany,8.46,8.77
1775,Berlin,Germany,10.10,9.18
1776,Berlin,Germany,8.36,8.30
1777,Berlin,Germany,8.29,8.26
1778,Berlin,Germany,9.43,8.54
1779,Berlin,Germany,10.47,8.98
1780,Berlin,Germany,8.78,9.43
1781,Berlin,Germany,9.98,8.10
1782,Berlin,Germany,8.61,7.90
1783,Berlin,Germany,9.76,7.68
1784,Berlin,Germany,7.67,7.86
1785,Berlin,Germany,7.42,7.36
1786,Berlin,Germany,7.68,8.26
1787,Berlin,Germany,9.27,8.03
1788,Berlin,Germany,8.33,8.45
1789,Berlin,Germany,8.99,8.33
1790,Berlin,Germany,9.09,7.98
1791,Berlin,Germany,9.55,8.23
1792,Berlin,Germany,8.90,8.09
1793,Berlin,Germany,9.18,8.23
1794,Berlin,Germany,10.02,8.53
1795,Berlin,Germany,8.87,8.35
1796,Berlin,Germany,9.01,8.27
1797,Berlin,Germany,10.07,8.51
1798,Berlin,Germany,9.33,8.67
1799,Berlin,Germany,6.72,8.51
1800,Berlin,Germany,8.60,8.48
1801,Berlin,Germany,9.61,8.59
1802,Berlin,Germany,9.08,8.58
1803,Berlin,Germany,8.02,8.50
1804,Berlin,Germany,8.36,8.84
1805,Berlin,Germany,7.20,8.56
1806,Berlin,Germany,9.67,8.43
1807,Berlin,Germany,9.42,8.28
1808,Berlin,Germany,8.15,7.63
1809,Berlin,Germany,8.66,7.08
1810,Berlin,Germany,8.46,6.92
1811,Berlin,Germany,9.93,6.86
1812,Berlin,Germany,7.35,7.05
1813,Berlin,Germany,8.66,7.74
1814,Berlin,Germany,7.46,7.59
1815,Berlin,Germany,8.38,7.24
1816,Berlin,Germany,7.75,6.94
1817,Berlin,Germany,8.92,6.98
1818,Berlin,Germany,9.00,7.83
1819,Berlin,Germany,9.43,7.37
1820,Berlin,Germany,7.86,7.62
1821,Berlin,Germany,9.15,8.09
1822,Berlin,Germany,10.05,8.19
1823,Berlin,Germany,8.26,7.72
1824,Berlin,Germany,9.61,8.55
1825,Berlin,Germany,9.32,8.39
1826,Berlin,Germany,9.35,8.36
1827,Berlin,Germany,8.99,8.81
1828,Berlin,Germany,8.94,8.17
1829,Berlin,Germany,6.52,7.94
1830,Berlin,Germany,8.08,8.52
1831,Berlin,Germany,8.93,7.64
1832,Berlin,Germany,8.34,7.45
1833,Berlin,Germany,8.89,8.01
1834,Berlin,Germany,10.40,8.15
1835,Berlin,Germany,8.81,7.39
1836,Berlin,Germany,8.88,7.70
1837,Berlin,Germany,8.12,7.38
1838,Berlin,Germany,6.98,7.51
1839,Berlin,Germany,8.63,7.63
1840,Berlin,Germany,7.74,7.80
1841,Berlin,Germany,9.06,7.69
1842,Berlin,Germany,8.51,8.02
1843,Berlin,Germany,9.18,8.17
1844,Berlin,Germany,7.85,7.65
1845,Berlin,Germany,7.92,7.85
1846,Berlin,Germany,9.84,8.55
1847,Berlin,Germany,8.24,8.09
1848,Berlin,Germany,8.75,7.98
1849,Berlin,Germany,8.03,7.98
1850,Berlin,Germany,8.20,7.90
1851,Berlin,Germany,8.50,8.18
1852,Berlin,Germany,9.54,8.10
1853,Berlin,Germany,7.55,8.04
1854,Berlin,Germany,8.69,8.21
